Subpopulation 1,Subpopulation 2,Subpopulation 3
489.39602684661395,534.332917656195,476.2710554971908
489.39602684670444,534.3329176562653,476.27105549703015
489.3960268467949,534.3329176563354,476.27105549686956
489.3960268468854,534.3329176564056,476.2710554967089
489.3960268469758,534.3329176564757,476.2710554965483
489.3960268470663,534.3329176565459,476.27105549638765
489.39602684715675,534.332917656616,476.271055496227
489.39602684724724,534.3329176566862,476.27105549606637
489.39602684733774,534.3329176567563,476.2710554959058
489.3960268474282,534.3329176568266,476.27105549574514
489.39602684751867,534.3329176568967,476.2710554955845
489.3960268476091,534.3329176569669,476.27105549542387
489.3960268476996,534.332917657037,476.2710554952632
489.39602684779004,534.3329176571071,476.2710554951026
489.39602684788053,534.3329176571773,476.271055494942
489.39602684797103,534.3329176572474,476.27105549478136
489.39602684806147,534.3329176573176,476.2710554946207
489.39602684815196,534.3329176573878,476.2710554944601
489.3960268482424,534.332917657458,476.27105549429945
489.3960268483329,534.3329176575281,476.2710554941388
489.39602684842333,534.3329176575983,476.2710554939782
489.3960268485138,534.3329176576684,476.2710554938176
489.39602684860427,534.3329176577386,476.27105549365695
489.39602684869476,534.3329176578087,476.2710554934963
489.39602684878525,534.332917657879,476.27105549333567
489.3960268488757,534.3329176579491,476.2710554931751
489.3960268489662,534.3329176580193,476.27105549301444
489.3960268490566,534.3329176580894,476.2710554928538
489.3960268491471,534.3329176581595,476.27105549269316
489.39602684923756,534.3329176582297,476.2710554925325
489.39602684932805,534.3329176582998,476.2710554923719
489.39602684941855,534.33291765837,476.2710554922113
489.396026849509,534.3329176584402,476.27105549205066
489.3960268495995,534.3329176585104,476.27105549189
489.3960268496899,534.3329176585805,476.2710554917294
489.3960268497804,534.3329176586507,476.27105549156875
489.39602684987085,534.3329176587208,476.2710554914081
489.39602684996134,534.332917658791,476.2710554912475
489.3960268500518,534.3329176588611,476.2710554910869
489.3960268501423,534.3329176589314,476.27105549092624
489.3960268502328,534.3329176590015,476.2710554907656
489.3960268503232,534.3329176590717,476.27105549060497
489.3960268504137,534.3329176591418,476.2710554904443
489.39602685050414,534.332917659212,476.27105549028374
489.39602685059464,534.3329176592821,476.2710554901231
489.3960268506851,534.3329176593522,476.27105548996246
489.39602685077557,534.3329176594224,476.2710554898018
489.39602685086606,534.3329176594926,476.2710554896412
489.3960268509565,534.3329176595628,476.2710554894806
489.396026851047,534.3329176596329,476.27105548931996
489.39602685113744,534.3329176597031,476.2710554891593
489.39602685122793,534.3329176597732,476.2710554889987
489.39602685131837,534.3329176598434,476.27105548883804
489.39602685140886,534.3329176599135,476.2710554886774
489.3960268514993,534.3329176599837,476.2710554885168
489.3960268515898,534.3329176600539,476.2710554883562
489.3960268516803,534.332917660124,476.27105548819554
489.3960268517707,534.3329176601942,476.2710554880349
489.3960268518612,534.3329176602643,476.27105548787426
489.39602685195166,534.3329176603345,476.2710554877136
489.39602685204216,534.3329176604046,476.27105548755304
489.3960268521326,534.3329176604748,476.2710554873924
489.3960268522231,534.332917660545,476.27105548723176
489.3960268523136,534.3329176606152,476.2710554870711
489.396026852404,534.3329176606853,476.2710554869105
489.3960268524945,534.3329176607555,476.2710554867499
489.39602685258495,534.3329176608256,476.27105548658926
489.39602685267545,534.3329176608958,476.2710554864286
489.3960268527659,534.3329176609659,476.271055486268
489.3960268528564,534.332917661036,476.27105548610734
489.3960268529468,534.3329176611063,476.2710554859467
489.3960268530373,534.3329176611765,476.2710554857861
489.3960268531278,534.3329176612466,476.2710554856255
489.39602685321825,534.3329176613167,476.27105548546484
489.39602685330874,534.3329176613869,476.2710554853042
489.3960268533992,534.332917661457,476.27105548514356
489.3960268534897,534.3329176615272,476.2710554849829
489.3960268535801,534.3329176615973,476.27105548482234
489.3960268536706,534.3329176616676,476.2710554846617
489.3960268537611,534.3329176617377,476.27105548450106
489.39602685385154,534.3329176618079,476.2710554843404
489.39602685394203,534.332917661878,476.2710554841798
489.39602685403247,534.3329176619482,476.27105548401914
